scenario_id,result_scope,work_key,settlement_batch_id,internal_payment_id,processor_transaction_id,bank_entry_id,expected_outcome,expected_reason_code,expected_difference,explanation
mixed-exceptions,ORDER,SYNTH-ORDER-000011,,SYNTH-INT-000011,SYNTH-PROC-000011,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000012,,SYNTH-INT-000012,SYNTH-PROC-000012,,FEE_MISMATCH,L1_CONFIGURED_FEE_POLICY,0.37,The processor fee differs from the configured percentage-plus-fixed fee policy.
mixed-exceptions,ORDER,SYNTH-ORDER-000013,,SYNTH-INT-000013,SYNTH-PROC-000013,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000014,,SYNTH-INT-000014,SYNTH-PROC-000014,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000015,,SYNTH-INT-000015,SYNTH-PROC-000015,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000016,,SYNTH-INT-000016,,,MISSING_PROCESSOR,L1_MISSING_PROCESSOR,1287.29,The internal payment has no processor transaction with the same merchant order ID.
mixed-exceptions,ORDER,SYNTH-ORDER-000017,,SYNTH-INT-000017,SYNTH-PROC-000017,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000018,,SYNTH-INT-000018,SYNTH-PROC-000018,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000019,,SYNTH-INT-000019,SYNTH-PROC-000019,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000020,,SYNTH-INT-000020,SYNTH-PROC-000020,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000021,,SYNTH-INT-000021,SYNTH-PROC-000021,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000022,,SYNTH-INT-000022,SYNTH-PROC-000022,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000023,,SYNTH-INT-000023,SYNTH-PROC-000023-REFUND,,PARTIAL_REFUND,L1_PARTIAL_REFUND_LINK,718.58,The refund is linked to its original payment and reverses part of the gross amount.
mixed-exceptions,ORDER,SYNTH-ORDER-000024,,SYNTH-INT-000024,SYNTH-PROC-000024,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000025,,SYNTH-INT-000025,SYNTH-PROC-000025,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000026,,SYNTH-INT-000026,SYNTH-PROC-000026,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000027,,SYNTH-INT-000027,SYNTH-PROC-000027,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000028,,SYNTH-INT-000028,SYNTH-PROC-000028-REFUND,,PARTIAL_REFUND,L1_PARTIAL_REFUND_LINK,607.81,The refund is linked to its original payment and reverses part of the gross amount.
mixed-exceptions,ORDER,SYNTH-ORDER-000029,,SYNTH-INT-000029,SYNTH-PROC-000029,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000030,,SYNTH-INT-000030,SYNTH-PROC-000030,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000031,,SYNTH-INT-000031,SYNTH-PROC-000031,,CURRENCY_MISMATCH,L1_CURRENCY_EQUALITY,,Internal and processor currencies differ; amounts were not compared across currencies.
mixed-exceptions,ORDER,SYNTH-ORDER-000032,,SYNTH-INT-000032,SYNTH-PROC-000032,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000033,,SYNTH-INT-000033,SYNTH-PROC-000033,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000034,,SYNTH-INT-000034,SYNTH-PROC-000034,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000035,,SYNTH-INT-000035,SYNTH-PROC-000035,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000036,,SYNTH-INT-000036,SYNTH-PROC-000036,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000037,,SYNTH-INT-000037,SYNTH-PROC-000037,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000038,,SYNTH-INT-000038,SYNTH-PROC-000038,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000039,,SYNTH-INT-000039,SYNTH-PROC-000039,,DUPLICATE_INTERNAL,L1_DUPLICATE_INTERNAL,,More than one internal row uses the same internal payment identifier.
mixed-exceptions,ORDER,SYNTH-ORDER-000040,,SYNTH-INT-000040,SYNTH-PROC-000040,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000041,,SYNTH-INT-000041,SYNTH-PROC-000041,,CURRENCY_MISMATCH,L1_CURRENCY_EQUALITY,,Internal and processor currencies differ; amounts were not compared across currencies.
mixed-exceptions,ORDER,SYNTH-ORDER-000042,,SYNTH-INT-000042,SYNTH-PROC-000042,,DUPLICATE_PROCESSOR,L1_DUPLICATE_PROCESSOR,,More than one processor row uses the same processor transaction identifier.
mixed-exceptions,ORDER,SYNTH-ORDER-000043,,SYNTH-INT-000043,SYNTH-PROC-000043,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000044,,SYNTH-INT-000044,SYNTH-PROC-000044,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000045,,SYNTH-INT-000045,SYNTH-PROC-000045,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000046,,SYNTH-INT-000046,SYNTH-PROC-000046,,CURRENCY_MISMATCH,L1_CURRENCY_EQUALITY,,Internal and processor currencies differ; amounts were not compared across currencies.
mixed-exceptions,ORDER,SYNTH-ORDER-000047,,SYNTH-INT-000047,SYNTH-PROC-000047,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000048,,SYNTH-INT-000048,SYNTH-PROC-000048,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000049,,SYNTH-INT-000049,SYNTH-PROC-000049,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000050,,SYNTH-INT-000050,SYNTH-PROC-000050,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000051,,SYNTH-INT-000051,SYNTH-PROC-000051,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000052,,SYNTH-INT-000052,SYNTH-PROC-000052,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000053,,SYNTH-INT-000053,SYNTH-PROC-000053,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000054,,SYNTH-INT-000054,SYNTH-PROC-000054,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000055,,SYNTH-INT-000055,SYNTH-PROC-000055,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000056,,SYNTH-INT-000056,SYNTH-PROC-000056,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000057,,SYNTH-INT-000057,SYNTH-PROC-000057,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000058,,SYNTH-INT-000058,SYNTH-PROC-000058,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000059,,SYNTH-INT-000059,SYNTH-PROC-000059,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000060,,SYNTH-INT-000060,SYNTH-PROC-000060,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000061,,SYNTH-INT-000061,SYNTH-PROC-000061,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000062,,SYNTH-INT-000062,SYNTH-PROC-000062,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000063,,SYNTH-INT-000063,SYNTH-PROC-000063,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000064,,SYNTH-INT-000064,SYNTH-PROC-000064,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000065,,SYNTH-INT-000065,SYNTH-PROC-000065,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000066,,SYNTH-INT-000066,SYNTH-PROC-000066,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000067,,SYNTH-INT-000067,SYNTH-PROC-000067,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000068,,SYNTH-INT-000068,SYNTH-PROC-000068,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000069,,SYNTH-INT-000069,SYNTH-PROC-000069,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000070,,SYNTH-INT-000070,SYNTH-PROC-000070,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000071,,SYNTH-INT-000071,SYNTH-PROC-000071,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000072,,SYNTH-INT-000072,SYNTH-PROC-000072,,CURRENCY_MISMATCH,L1_CURRENCY_EQUALITY,,Internal and processor currencies differ; amounts were not compared across currencies.
mixed-exceptions,ORDER,SYNTH-ORDER-000073,,SYNTH-INT-000073,SYNTH-PROC-000073,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000074,,SYNTH-INT-000074,SYNTH-PROC-000074,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000075,,SYNTH-INT-000075,SYNTH-PROC-000075,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000076,,SYNTH-INT-000076,SYNTH-PROC-000076,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000077,,SYNTH-INT-000077,SYNTH-PROC-000077,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000078,,SYNTH-INT-000078,SYNTH-PROC-000078,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000079,,SYNTH-INT-000079,SYNTH-PROC-000079,,DUPLICATE_PROCESSOR,L1_DUPLICATE_PROCESSOR,,More than one processor row uses the same processor transaction identifier.
mixed-exceptions,ORDER,SYNTH-ORDER-000080,,SYNTH-INT-000080,SYNTH-PROC-000080,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000081,,SYNTH-INT-000081,SYNTH-PROC-000081,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000082,,SYNTH-INT-000082,,,MISSING_PROCESSOR,L1_MISSING_PROCESSOR,2461.94,The internal payment has no processor transaction with the same merchant order ID.
mixed-exceptions,ORDER,SYNTH-ORDER-000083,,SYNTH-INT-000083,SYNTH-PROC-000083,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000084,,SYNTH-INT-000084,SYNTH-PROC-000084,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000085,,SYNTH-INT-000085,SYNTH-PROC-000085,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000086,,SYNTH-INT-000086,SYNTH-PROC-000086,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000087,,SYNTH-INT-000087,SYNTH-PROC-000087,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000088,,SYNTH-INT-000088,SYNTH-PROC-000088,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000089,,SYNTH-INT-000089,SYNTH-PROC-000089,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000090,,SYNTH-INT-000090,SYNTH-PROC-000090,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000091,,SYNTH-INT-000091,SYNTH-PROC-000091,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000092,,SYNTH-INT-000092,SYNTH-PROC-000092,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000093,,SYNTH-INT-000093,SYNTH-PROC-000093,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000094,,SYNTH-INT-000094,,,MISSING_PROCESSOR,L1_MISSING_PROCESSOR,511.15,The internal payment has no processor transaction with the same merchant order ID.
mixed-exceptions,ORDER,SYNTH-ORDER-000095,,SYNTH-INT-000095,SYNTH-PROC-000095,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000096,,SYNTH-INT-000096,SYNTH-PROC-000096,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000097,,SYNTH-INT-000097,SYNTH-PROC-000097,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000098,,SYNTH-INT-000098,SYNTH-PROC-000098,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000099,,SYNTH-INT-000099,SYNTH-PROC-000099,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000100,,SYNTH-INT-000100,SYNTH-PROC-000100,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000101,,SYNTH-INT-000101,SYNTH-PROC-000101,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000102,,SYNTH-INT-000102,SYNTH-PROC-000102,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000103,,SYNTH-INT-000103,SYNTH-PROC-000103,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000104,,SYNTH-INT-000104,SYNTH-PROC-000104,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000105,,SYNTH-INT-000105,SYNTH-PROC-000105,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000106,,SYNTH-INT-000106,SYNTH-PROC-000106,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000107,,SYNTH-INT-000107,SYNTH-PROC-000107,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000108,,SYNTH-INT-000108,SYNTH-PROC-000108,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000109,,SYNTH-INT-000109,SYNTH-PROC-000109,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000110,,SYNTH-INT-000110,SYNTH-PROC-000110,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000111,,SYNTH-INT-000111,SYNTH-PROC-000111,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000112,,SYNTH-INT-000112,SYNTH-PROC-000112,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000113,,SYNTH-INT-000113,SYNTH-PROC-000113,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000114,,SYNTH-INT-000114,SYNTH-PROC-000114,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000115,,SYNTH-INT-000115,SYNTH-PROC-000115,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000116,,SYNTH-INT-000116,SYNTH-PROC-000116,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000117,,SYNTH-INT-000117,SYNTH-PROC-000117,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000118,,SYNTH-INT-000118,SYNTH-PROC-000118,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000119,,SYNTH-INT-000119,SYNTH-PROC-000119,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000120,,SYNTH-INT-000120,SYNTH-PROC-000120-REFUND,,PARTIAL_REFUND,L1_PARTIAL_REFUND_LINK,774.41,The refund is linked to its original payment and reverses part of the gross amount.
mixed-exceptions,ORDER,SYNTH-ORDER-000121,,SYNTH-INT-000121,SYNTH-PROC-000121,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000122,,SYNTH-INT-000122,SYNTH-PROC-000122,,AMOUNT_MISMATCH,L1_GROSS_AMOUNT_EQUALITY,1.11,The processor gross amount differs from the internal ledger amount.
mixed-exceptions,ORDER,SYNTH-ORDER-000123,,SYNTH-INT-000123,SYNTH-PROC-000123,,DUPLICATE_INTERNAL,L1_DUPLICATE_INTERNAL,,More than one internal row uses the same internal payment identifier.
mixed-exceptions,ORDER,SYNTH-ORDER-000124,,SYNTH-INT-000124,SYNTH-PROC-000124,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
mixed-exceptions,ORDER,SYNTH-ORDER-000125,,SYNTH-INT-000125,SYNTH-PROC-000125,,MATCHED,L1_EXACT_ORDER_MATCH,0.0,"Merchant order ID, currency, gross amount and configured processor fee all match."
